joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.3217,0.628015,1.5447,1.3795,-0.0617819,0.489024,-0.00859282
0.32329,0.628142,1.54349,1.37894,-0.0621018,0.488649,-0.00836121
0.324875,0.628269,1.54228,1.37838,-0.0624213,0.488277,-0.00812996
0.326452,0.628397,1.54109,1.37782,-0.06274,0.487908,-0.00789936
0.328019,0.628527,1.5399,1.37726,-0.0630577,0.487544,-0.00766953
0.329578,0.628658,1.53871,1.3767,-0.0633744,0.487183,-0.00744051
0.331129,0.628789,1.53753,1.37614,-0.0636903,0.486824,-0.00721218
0.332676,0.628921,1.53636,1.37558,-0.0640056,0.486468,-0.00698427
0.332761,0.628928,1.5363,1.37555,-0.064023,0.486448,-0.0069717
0.332761,0.628928,1.5363,1.37555,-0.064023,0.486448,-0.0069717
0.334307,0.629061,1.53512,1.37499,-0.0643381,0.486093,-0.00674396
0.335847,0.629194,1.53395,1.37443,-0.0646527,0.485739,-0.00651663
0.337379,0.629327,1.53279,1.37388,-0.0649664,0.485389,-0.00629002
0.338901,0.629463,1.53164,1.37332,-0.0652791,0.485043,-0.00606427
0.340415,0.629599,1.53049,1.37277,-0.0655906,0.4847,-0.00583937
0.341922,0.629735,1.52935,1.37222,-0.0659013,0.48436,-0.00561518
0.34321,0.629853,1.52837,1.37174,-0.0661672,0.48407,-0.00542337
0.34321,0.629853,1.52837,1.37174,-0.0661672,0.48407,-0.00542337
0.344712,0.62999,1.52723,1.37119,-0.0664772,0.483732,-0.0051997
0.346208,0.630127,1.5261,1.37064,-0.0667867,0.483396,-0.0049765
0.347696,0.630266,1.52497,1.37009,-0.0670951,0.483063,-0.00475408
0.349175,0.630406,1.52385,1.36954,-0.0674024,0.482734,-0.00453259
0.350645,0.630546,1.52274,1.369,-0.0677086,0.482408,-0.00431199
0.352109,0.630687,1.52163,1.36845,-0.0680139,0.482085,-0.0040921
0.353078,0.630781,1.5209,1.36809,-0.0682163,0.481871,-0.00394634
0.353078,0.630781,1.5209,1.36809,-0.0682163,0.481871,-0.00394634
0.354537,0.630922,1.5198,1.36754,-0.068521,0.481549,-0.0037269
0.355991,0.631063,1.5187,1.367,-0.068825,0.48123,-0.00350798
0.357437,0.631206,1.5176,1.36646,-0.069128,0.480914,-0.00328991
0.358873,0.631349,1.51652,1.36592,-0.0694298,0.480601,-0.00307282
0.3603,0.631493,1.51544,1.36538,-0.0697303,0.480291,-0.00285666
0.361722,0.631638,1.51436,1.36484,-0.07003,0.479984,-0.00264119
0.362397,0.631706,1.51385,1.36458,-0.0701724,0.479838,-0.00253881
0.362397,0.631706,1.51385,1.36458,-0.0701724,0.479838,-0.00253881
0.363815,0.631851,1.51278,1.36404,-0.0704716,0.479531,-0.00232373
